id,משרד,שנת תקציב,קוד תקציבי,כותרת,תקציב מקורי,תקציב מעודכן,ביצוע,אומדן ביצוע,שיעור ביצוע,סטטוס נתון,מקור
budget-sec-7-2026-00077001,sec-7,2026,00077001,שכר,3590397000,3634449000,,,,estimate,https://next.obudget.org/i/budget/00077001/2026
budget-sec-7-2026-00077002,sec-7,2026,00077002,קניות,2048312000,2048312000,,,,estimate,https://next.obudget.org/i/budget/00077002/2026
budget-sec-7-2026-00077003,sec-7,2026,00077003,גמלאות,1109000000,1109000000,,,,estimate,https://next.obudget.org/i/budget/00077003/2026
budget-sec-7-2026-000780,sec-7,2026,000780,משטרת ישראל,20202907000,20839069000,,,,estimate,https://next.obudget.org/i/budget/000780/2026
budget-sec-7-2026-00078001,sec-7,2026,00078001,שכר,10733752000,10756180000,,,,estimate,https://next.obudget.org/i/budget/00078001/2026
budget-sec-7-2026-00078002,sec-7,2026,00078002,קניות,3508963000,4107519000,,,,estimate,https://next.obudget.org/i/budget/00078002/2026
budget-sec-7-2026-00078003,sec-7,2026,00078003,"רכישת שירותי כ""א",1013192000,1028370000,,,,estimate,https://next.obudget.org/i/budget/00078003/2026
budget-sec-7-2026-00078004,sec-7,2026,00078004,תקציב עקיף,0,0,,,,estimate,https://next.obudget.org/i/budget/00078004/2026
budget-sec-7-2026-00078008,sec-7,2026,00078008,גמלאות,4947000000,4947000000,,,,estimate,https://next.obudget.org/i/budget/00078008/2026
budget-sec-7-2026-000799,sec-7,2026,000799,חשבון מעבר,0,0,,,,estimate,https://next.obudget.org/i/budget/000799/2026
budget-sec-7-2026-00079999,sec-7,2026,00079999,חשבון מעבר,0,0,,,,estimate,https://next.obudget.org/i/budget/00079999/2026
