משרד,שנה,סיווג ראשי,סיווג משני,תקציב מקורי,תקציב מעודכן,ביצוע/אומדן,מספר תקנות,מקור
education,2024,העברות,תשלומי העברה סוציאליים,13923000,20925000,14849982,3,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות פנים תקציביות,הפחתות,0,0,-16213,2,https://next.obudget.org/i/budget/0020/2024
education,2024,העברות פנים תקציביות,השתתפויות,80703000,100391000,71182161,11,https://next.obudget.org/i/budget/0020/2024
education,2024,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0020/2024
education,2024,קניות,קניות בארץ,1854642000,2991387000,1713436143,75,https://next.obudget.org/i/budget/0020/2024
education,2024,קניות,"קניות בחו""ל",2450000,6780000,2597002,1,https://next.obudget.org/i/budget/0020/2024
education,2024,קניות,רזרבה,1175412000,4039000,0,7,https://next.obudget.org/i/budget/0020/2024
education,2024,שכר,רזרבה,2590955000,0,0,11,https://next.obudget.org/i/budget/0020/2024
education,2024,שכר,שכר בארץ,29685199000,33811657000,37083481902,42,https://next.obudget.org/i/budget/0020/2024
education,2025,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-4705695844,23,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,מוצרים ציבוריים,5163583000,8148161000,7891513973,111,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,רזרבה,2072216000,7520000,0,5,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,שכר עקיף,42594418000,46940735000,45437612594,96,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,תמיכות לפי סעיף 3א,1604951000,2144405000,1792496642,32,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות,תשלומי העברה סוציאליים,13888000,23368000,20507609,3,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות פנים תקציביות,הפחתות,0,0,-17953,2,https://next.obudget.org/i/budget/0020/2025
education,2025,העברות פנים תקציביות,השתתפויות,97617000,142348000,123380068,11,https://next.obudget.org/i/budget/0020/2025
education,2025,חשבונות מעבר,חשבונות מעבר,0,0,5001,1,https://next.obudget.org/i/budget/0020/2025
education,2025,קניות,קניות בארץ,1719623000,3613114000,2129089461,76,https://next.obudget.org/i/budget/0020/2025
education,2025,קניות,"קניות בחו""ל",3000000,6663000,3286852,1,https://next.obudget.org/i/budget/0020/2025
education,2025,קניות,רזרבה,987319000,527884000,0,3,https://next.obudget.org/i/budget/0020/2025
education,2025,שכר,רזרבה,3616887000,0,0,11,https://next.obudget.org/i/budget/0020/2025
education,2025,שכר,שכר בארץ,31925695000,34746942000,38013293621,41,https://next.obudget.org/i/budget/0020/2025
education,2026,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,,22,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,מוצרים ציבוריים,5348042000,5348042000,,102,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,רזרבה,2595611000,2595611000,,9,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,שכר עקיף,46321053000,46321053000,,92,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,תמיכות לפי סעיף 3א,1536855000,1536855000,,30,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות,תשלומי העברה סוציאליים,11742000,11742000,,3,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות פנים תקציביות,הפחתות,0,0,,2,https://next.obudget.org/i/budget/0020/2026
education,2026,העברות פנים תקציביות,השתתפויות,53750000,53750000,,10,https://next.obudget.org/i/budget/0020/2026
education,2026,חשבונות מעבר,חשבונות מעבר,0,0,,1,https://next.obudget.org/i/budget/0020/2026
education,2026,קניות,קניות בארץ,2086859000,2086859000,,74,https://next.obudget.org/i/budget/0020/2026
education,2026,קניות,"קניות בחו""ל",3000000,3000000,,1,https://next.obudget.org/i/budget/0020/2026
education,2026,קניות,רזרבה,338669000,338669000,,2,https://next.obudget.org/i/budget/0020/2026
education,2026,שכר,רזרבה,3261913000,3261913000,,6,https://next.obudget.org/i/budget/0020/2026
education,2026,שכר,שכר בארץ,35335591000,35335591000,,41,https://next.obudget.org/i/budget/0020/2026
environment,2023,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-825658918,12,https://next.obudget.org/i/budget/0026/2023
environment,2023,העברות,מוצרים ציבוריים,33288000,1633362000,507050477,14,https://next.obudget.org/i/budget/0026/2023
environment,2023,העברות,רזרבה,1447000,0,0,1,https://next.obudget.org/i/budget/0026/2023
environment,2023,העברות,תמיכות לפי סעיף 3א,0,10163000,5128845,3,https://next.obudget.org/i/budget/0026/2023
environment,2023,העברות פנים תקציביות,השתתפויות,22764000,26615000,26590413,4,https://next.obudget.org/i/budget/0026/2023
environment,2023,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0026/2023
environment,2023,קניות,קניות בארץ,144569000,494417000,363226693,34,https://next.obudget.org/i/budget/0026/2023
environment,2023,קניות,רזרבה,11865000,0,0,2,https://next.obudget.org/i/budget/0026/2023
environment,2023,שכר,רזרבה,7089000,0,0,1,https://next.obudget.org/i/budget/0026/2023
environment,2023,שכר,שכר בארץ,163003000,158341000,165410482,14,https://next.obudget.org/i/budget/0026/2023
environment,2024,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-769796655,12,https://next.obudget.org/i/budget/0026/2024
environment,2024,העברות,מוצרים ציבוריים,30324000,299008000,452272282,15,https://next.obudget.org/i/budget/0026/2024
environment,2024,העברות,רזרבה,1264000,0,0,1,https://next.obudget.org/i/budget/0026/2024
environment,2024,העברות,תמיכות לפי סעיף 3א,0,19773000,7954654,3,https://next.obudget.org/i/budget/0026/2024
environment,2024,העברות פנים תקציביות,השתתפויות,27836000,25236000,25374673,4,https://next.obudget.org/i/budget/0026/2024
environment,2024,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0026/2024
environment,2024,קניות,קניות בארץ,147415000,464264000,366548377,39,https://next.obudget.org/i/budget/0026/2024
environment,2024,קניות,רזרבה,15309000,113000,0,4,https://next.obudget.org/i/budget/0026/2024
environment,2024,שכר,רזרבה,6914000,0,0,1,https://next.obudget.org/i/budget/0026/2024
environment,2024,שכר,שכר בארץ,165937000,170165000,179577286,14,https://next.obudget.org/i/budget/0026/2024
environment,2025,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-816178561,12,https://next.obudget.org/i/budget/0026/2025
environment,2025,העברות,מוצרים ציבוריים,22992000,426137000,651991029,14,https://next.obudget.org/i/budget/0026/2025
environment,2025,העברות,רזרבה,958000,0,0,1,https://next.obudget.org/i/budget/0026/2025
environment,2025,העברות,תמיכות לפי סעיף 3א,0,12208000,10276561,3,https://next.obudget.org/i/budget/0026/2025
environment,2025,העברות פנים תקציביות,השתתפויות,27738000,28096000,26668752,4,https://next.obudget.org/i/budget/0026/2025
environment,2025,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0026/2025
environment,2025,קניות,קניות בארץ,111741000,526236000,442881503,38,https://next.obudget.org/i/budget/0026/2025
environment,2025,קניות,רזרבה,14661000,0,0,4,https://next.obudget.org/i/budget/0026/2025
environment,2025,שכר,רזרבה,7573000,0,0,1,https://next.obudget.org/i/budget/0026/2025
environment,2025,שכר,שכר בארץ,181753000,202134000,191178867,20,https://next.obudget.org/i/budget/0026/2025
environment,2026,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,,11,https://next.obudget.org/i/budget/0026/2026
environment,2026,העברות,מוצרים ציבוריים,12500000,12500000,,14,https://next.obudget.org/i/budget/0026/2026
environment,2026,העברות,רזרבה,521000,521000,,1,https://next.obudget.org/i/budget/0026/2026
environment,2026,העברות,תמיכות לפי סעיף 3א,0,0,,2,https://next.obudget.org/i/budget/0026/2026
environment,2026,העברות פנים תקציביות,השתתפויות,0,0,,4,https://next.obudget.org/i/budget/0026/2026
environment,2026,חשבונות מעבר,חשבונות מעבר,0,0,,1,https://next.obudget.org/i/budget/0026/2026
environment,2026,קניות,קניות בארץ,293281000,293281000,,35,https://next.obudget.org/i/budget/0026/2026
environment,2026,קניות,רזרבה,32847000,32847000,,3,https://next.obudget.org/i/budget/0026/2026
environment,2026,שכר,רזרבה,7821000,7821000,,1,https://next.obudget.org/i/budget/0026/2026
environment,2026,שכר,שכר בארץ,187694000,187694000,,20,https://next.obudget.org/i/budget/0026/2026
health,2023,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-5089569860,41,https://next.obudget.org/i/budget/0024/2023
health,2023,העברות,מוצרים ציבוריים,33790853000,40390506000,43789816303,33,https://next.obudget.org/i/budget/0024/2023
health,2023,העברות,רזרבה,1426716000,0,0,1,https://next.obudget.org/i/budget/0024/2023
health,2023,העברות,תמיכות לפי סעיף 3א,10756000,43516000,30473734,2,https://next.obudget.org/i/budget/0024/2023
health,2023,העברות פנים תקציביות,הפחתות,0,0,0,6,https://next.obudget.org/i/budget/0024/2023
health,2023,העברות פנים תקציביות,השתתפויות,97284000,151810000,120013477,13,https://next.obudget.org/i/budget/0024/2023
health,2023,חשבונות מעבר,חשבונות מעבר,0,0,0,1,https://next.obudget.org/i/budget/0024/2023
health,2023,קניות,קניות בארץ,6526151000,11428666000,9381093575,103,https://next.obudget.org/i/budget/0024/2023
health,2023,קניות,"קניות בחו""ל",600000,1066000,858693,1,https://next.obudget.org/i/budget/0024/2023
health,2023,קניות,רזרבה,1058997000,0,0,9,https://next.obudget.org/i/budget/0024/2023
health,2023,שכר,רזרבה,69312000,0,0,1,https://next.obudget.org/i/budget/0024/2023
health,2023,שכר,שכר בארץ,1643586000,1610294000,2074956649,148,https://next.obudget.org/i/budget/0024/2023
health,2024,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-5008437703,35,https://next.obudget.org/i/budget/0024/2024
health,2024,העברות,מוצרים ציבוריים,42492609000,44841884000,47103809263,32,https://next.obudget.org/i/budget/0024/2024
health,2024,העברות,רזרבה,1761814000,1200000,0,1,https://next.obudget.org/i/budget/0024/2024
health,2024,העברות,תמיכות לפי סעיף 3א,14256000,58250000,44567150,2,https://next.obudget.org/i/budget/0024/2024
health,2024,העברות פנים תקציביות,הפחתות,0,0,-78100,6,https://next.obudget.org/i/budget/0024/2024
health,2024,העברות פנים תקציביות,השתתפויות,119233000,217205000,222838156,12,https://next.obudget.org/i/budget/0024/2024
health,2024,חשבונות מעבר,חשבונות מעבר,0,0,-6089,1,https://next.obudget.org/i/budget/0024/2024
health,2024,קניות,קניות בארץ,7197259000,10716685000,9224053955,90,https://next.obudget.org/i/budget/0024/2024
health,2024,קניות,"קניות בחו""ל",800000,1036000,629447,1,https://next.obudget.org/i/budget/0024/2024
health,2024,קניות,רזרבה,1007499000,0,0,9,https://next.obudget.org/i/budget/0024/2024
health,2024,שכר,רזרבה,70252000,0,0,1,https://next.obudget.org/i/budget/0024/2024
health,2024,שכר,שכר בארץ,1683072000,1684604000,2187406023,126,https://next.obudget.org/i/budget/0024/2024
health,2025,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,-5105310286,34,https://next.obudget.org/i/budget/0024/2025
health,2025,העברות,מוצרים ציבוריים,46614084000,49314279000,51701311753,31,https://next.obudget.org/i/budget/0024/2025
health,2025,העברות,רזרבה,2039254000,0,0,1,https://next.obudget.org/i/budget/0024/2025
health,2025,העברות,תמיכות לפי סעיף 3א,14256000,64038000,46039583,1,https://next.obudget.org/i/budget/0024/2025
health,2025,העברות פנים תקציביות,הפחתות,0,0,0,6,https://next.obudget.org/i/budget/0024/2025
health,2025,העברות פנים תקציביות,השתתפויות,190795000,186790000,197717495,11,https://next.obudget.org/i/budget/0024/2025
health,2025,חשבונות מעבר,חשבונות מעבר,0,0,27384,1,https://next.obudget.org/i/budget/0024/2025
health,2025,קניות,קניות בארץ,7818152000,10006928000,9660274821,88,https://next.obudget.org/i/budget/0024/2025
health,2025,קניות,"קניות בחו""ל",1000000,1557000,1249263,1,https://next.obudget.org/i/budget/0024/2025
health,2025,קניות,רזרבה,548336000,0,0,7,https://next.obudget.org/i/budget/0024/2025
health,2025,שכר,רזרבה,77022000,0,0,1,https://next.obudget.org/i/budget/0024/2025
health,2025,שכר,שכר בארץ,1845520000,1815561000,2309271960,116,https://next.obudget.org/i/budget/0024/2025
health,2026,הכנסות מיועדות,הכנסות תקציב רגיל,0,0,,34,https://next.obudget.org/i/budget/0024/2026
health,2026,העברות,מוצרים ציבוריים,50387994000,50387994000,,24,https://next.obudget.org/i/budget/0024/2026
